"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0008973","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0008980","Aayush Shrivastava","Dearborn PNM Release","","Aayush Shrivastava"
"US-0008991","Aayush Shrivastava","Dearborn PNM Release","SFDC-41543","Aayush Shrivastava"
"US-0008993","Aayush Shrivastava","Dearborn PNM Release","SFDC-41587","Aayush Shrivastava"
"US-0009002","Aayush Shrivastava","Dearborn PNM Release","SFDC-41588","Aayush Shrivastava"
"US-0009006","Aayush Shrivastava","Dearborn PNM Release","SFDC-41582","Aayush Shrivastava"
"US-0009011","Aayush Shrivastava","Dearborn PNM Release","SFDC-41616","Aayush Shrivastava"
"US-0009026","Aayush Shrivastava","Dearborn PNM Release","SFDC-41576","Aayush Shrivastava"
"US-0009047","Aayush Shrivastava","Dearborn PNM Release","SFDC-41672","Aayush Shrivastava"
"US-0009048","Aayush Shrivastava","Dearborn PNM Release","SFDC-41239","Aayush Shrivastava"
"US-0009065","Aayush Shrivastava","Dearborn PNM Release","SFDC-41601","Aayush Shrivastava"
"US-0009066","Aayush Shrivastava","Dearborn PNM Release","SFDC-41075","Aayush Shrivastava"
"US-0009071","Aayush Shrivastava","Dearborn PNM Release","SFDC-41259","Aayush Shrivastava"
"US-0009084","Aayush Shrivastava","Dearborn PNM Release","SFDC-41770","Aayush Shrivastava"
"US-0009175","Aayush Shrivastava","Dearborn PNM Release","SFDC-41910","Aayush Shrivastava"
"US-0009176","Aayush Shrivastava","Dearborn PNM Release","SFDC-41654","Aayush Shrivastava"
"US-0009177","Aayush Shrivastava","Dearborn PNM Release","SFDC-41602","Aayush Shrivastava"
"US-0009210","Aayush Shrivastava","Dearborn PNM Release","SFDC-41655","Aayush Shrivastava"
"US-0009212","Aayush Shrivastava","Dearborn PNM Release","SFDC-41975","Aayush Shrivastava"
"US-0009213","Aayush Shrivastava","Dearborn PNM Release","SFDC-41937?","Aayush Shrivastava"
"US-0009214","Aayush Shrivastava","Dearborn PNM Release","SFDC-41762","Aayush Shrivastava"
"US-0009242","Aayush Shrivastava","Dearborn PNM Release","SFDC-41088","Aayush Shrivastava"
"US-0009270","Aayush Shrivastava","Dearborn PNM Release","SFDC-42010","Aayush Shrivastava"
"US-0009274","Aayush Shrivastava","Dearborn PNM Release","SFDC-42007","Aayush Shrivastava"
"US-0009315","Aayush Shrivastava","Dearborn PNM Release","SFDC-42135","Aayush Shrivastava"
"US-0009316","Aayush Shrivastava","Dearborn PNM Release","SFDC-42135","Aayush Shrivastava"
"US-0009317","Aayush Shrivastava","Dearborn PNM Release","SFDC-42135","Aayush Shrivastava"
"US-0009318","Aayush Shrivastava","Dearborn PNM Release","SFDC-42135","Aayush Shrivastava"
"US-0009341","Aayush Shrivastava","Dearborn PNM Release","SFDC-42164","Aayush Shrivastava"
"US-0009353","Aayush Shrivastava","Dearborn PNM Release","SFDC-42190","Aayush Shrivastava"
"US-0009370","Aayush Shrivastava","Dearborn PNM Release","SFDC-42204","Aayush Shrivastava"
"US-0009387","Aayush Shrivastava","Dearborn PNM Release","SFDC-42233","Aayush Shrivastava"
"US-0009388","Aayush Shrivastava","Dearborn PNM Release","SFDC-42267","Aayush Shrivastava"
"US-0009437","Aayush Shrivastava","Dearborn PNM Release","SFDC-42386","Aayush Shrivastava"
"US-0009451","Aayush Shrivastava","Dearborn PNM Release","SFDC-42404","Aayush Shrivastava"
"US-0009497","Aayush Shrivastava","Dearborn PNM Release","SFDC-41075","Aayush Shrivastava"
"US-0009498","Aayush Shrivastava","Dearborn PNM Release","SFDC-42552","Aayush Shrivastava"
"US-0009526","Aayush Shrivastava","Dearborn PNM Release","SFDC-42595","Aayush Shrivastava"
"US-0009541","Aayush Shrivastava","Dearborn PNM Release","SFDC-47672","Aayush Shrivastava"
"US-0009557","Aayush Shrivastava","Dearborn PNM Release","SFDC-42724","Aayush Shrivastava"
"US-0009571","Aayush Shrivastava","Dearborn PNM Release","SFDC-41655","Aayush Shrivastava"
